refdes	value	device	cost	unit	
U2	unknown	OPAMP	1.19	adc_amp	
C2	10uF	CAPACITOR	0.10	adc_amp	
R6	100k	RESISTOR	0.11	adc_amp	
R5	100k	RESISTOR	0.11	adc_amp	
AC_OFFSET	unknown	INPUT	unknown	unknown	
/CS	unknown	INPUT	unknown	unknown	
SI	unknown	INPUT	unknown	unknown	
SCK	unknown	INPUT	unknown	unknown	
V_OUT	unknown	OUTPUT	unknown	unknown	
U1	unknown	unknown	1.21	adc_amp	
C1	10uF	CAPACITOR	0.10	adc_amp	
R4	100k	RESISTOR	0.11	adc_amp	
R3	100k	RESISTOR	0.11	adc_amp	
V_P	unknown	INPUT	unknown	unknown	
OFFSET	unknown	INPUT	unknown	unknown	
R1	715k	RESISTOR	0.11	adc_amp	
R2	301k	RESISTOR	0.11	adc_amp	
GND	unknown	INPUT	unknown	unknown	
V_IN	unknown	INPUT	unknown	unknown	
