refdes	value	device	cost	
R2	unknown	VARIABLE_RESISTOR	?	
C2	unknown	VARIABLE_CAPACITOR	?	
U4	unknown	OPAMP	?	
U3	unknown	OPAMP	?	
U2	unknown	OPAMP	1.16	
U1	unknown	OPAMP	1.16	
R6	10k	RESISTOR	0.10	
R5	3k	RESISTOR	0.10	
R4	50k	RESISTOR	0.10	
R1	500k	RESISTOR	0.10	
GND	unknown	INPUT	unknown	
AMP	unknown	OUTPUT	unknown	
V_IO	unknown	INPUT	unknown	
V_DUT	unknown	INPUT	unknown	
PHASE	unknown	OUTPUT	unknown	
V_IN	unknown	INPUT	unknown	
R3	500k	RESISTOR	0.10	
C1	unknown	CAPACITOR	0.10	
D1	unknown	DIODE	?	
